Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	IndividualID	Cohort
HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	HMPI244	M2060	HMP
HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	HMPI245	M2064	HMP
HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	HMPI246	M2067	HMP
HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	HMPI247	M2068	HMP
HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	HMPI248	M2069	HMP
HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	HMPI249	M2071	HMP
HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	HMPI250	M2072	HMP
HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	HMPI251	M2075	HMP
HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	HMPI252	M2077	HMP
HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	HMPI253	M2079	HMP
HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	HMPI254	M2081	HMP
HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	HMPI255	M2082	HMP
HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	HMPI256	M2085	HMP
HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	HMPI257	M2086	HMP
HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	HMPI258	M2091	HMP
HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	HMPI259	P6005	HMP
HMPI262	HMPI260	HMPI262	HMPI264	HMPI260	HMPI261	HMPI265	HMPI265	HMPI263	HMPI266	HMPI260	HMPI260	HMPI268	HMPI266	HMPI261	HMPI261	HMPI262	HMPI261	HMPI264	HMPI260	P6009	HMP
HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	HMPI269	P6010	HMP
HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	HMPI270	P6013	HMP
HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	HMPI271	P6014	HMP
HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	HMPI272	P6016	HMP
HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	HMPI273	P6017	HMP
HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	HMPI274	P6018	HMP
HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	HMPI275	P6024	HMP
HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	HMPI276	P6025	HMP
HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	HMPI277	P6028	HMP
HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	HMPI278	P6033	HMP
HMP2I560	HMP2I889	HMP2I515	HMP2I515	HMP2I120	HMP2I41	HMP2I560	HMP2I560	HMP2I649	HMP2I649	HMP2I515	HMP2I41	HMP2I560	HMP2I560	HMP2I120	HMP2I41	HMP2I889	HMP2I889	HMP2I41	HMP2I889	C3001	HMP2
HMP2I101	HMP2I160	HMP2I895	HMP2I101	HMP2I895	HMP2I803	HMP2I943	HMP2I160	HMP2I101	HMP2I101	HMP2I101	HMP2I943	HMP2I943	HMP2I803	HMP2I478	HMP2I809	HMP2I809	HMP2I809	HMP2I160	HMP2I943	C3002	HMP2
HMP2I549	HMP2I477	HMP2I549	HMP2I272	HMP2I22	HMP2I22	HMP2I993	HMP2I147	HMP2I549	HMP2I549	HMP2I993	HMP2I993	HMP2I272	HMP2I549	HMP2I147	HMP2I993	HMP2I272	HMP2I147	HMP2I22	HMP2I272	C3003	HMP2
HMP2I90	HMP2I168	HMP2I74	HMP2I90	HMP2I123	HMP2I269	HMP2I1319	HMP2I476	HMP2I340	HMP2I609	HMP2I609	HMP2I193	HMP2I1313	HMP2I123	HMP2I74	HMP2I436	HMP2I193	HMP2I340	HMP2I436	HMP2I90	C3004	HMP2
HMP2I179	HMP2I259	HMP2I989	HMP2I982	HMP2I259	HMP2I259	HMP2I982	HMP2I239	HMP2I982	HMP2I422	HMP2I3	HMP2I239	HMP2I239	HMP2I3	HMP2I422	HMP2I179	HMP2I179	HMP2I3	HMP2I422	HMP2I438	C3005	HMP2
HMP2I766	HMP2I717	HMP2I717	HMP2I557	HMP2I717	HMP2I202	HMP2I202	HMP2I445	HMP2I418	HMP2I418	HMP2I717	HMP2I766	HMP2I418	HMP2I717	HMP2I445	HMP2I766	HMP2I766	HMP2I119	HMP2I445	HMP2I202	C3006	HMP2
HMP2I878	HMP2I499	HMP2I878	HMP2I680	HMP2I952	HMP2I348	HMP2I759	HMP2I952	HMP2I836	HMP2I379	HMP2I836	HMP2I940	HMP2I878	HMP2I836	HMP2I240	HMP2I348	HMP2I759	HMP2I379	HMP2I348	HMP2I379	C3008	HMP2
HMP2I777	HMP2I154	HMP2I163	HMP2I829	HMP2I154	HMP2I154	HMP2I322	HMP2I467	HMP2I467	HMP2I55	HMP2I163	HMP2I467	HMP2I467	HMP2I829	HMP2I777	HMP2I829	HMP2I446	HMP2I829	HMP2I91	HMP2I55	C3009	HMP2
HMP2I893	HMP2I893	HMP2I65	HMP2I129	HMP2I227	HMP2I893	HMP2I423	HMP2I439	HMP2I262	HMP2I980	HMP2I893	HMP2I893	HMP2I688	HMP2I439	HMP2I150	HMP2I688	HMP2I980	HMP2I65	HMP2I150	HMP2I980	C3010	HMP2
HMP2I222	HMP2I769	HMP2I57	HMP2I900	HMP2I57	HMP2I9	HMP2I9	HMP2I769	HMP2I769	HMP2I57	HMP2I1311	HMP2I57	HMP2I1311	HMP2I1311	HMP2I9	HMP2I769	HMP2I222	HMP2I769	HMP2I222	HMP2I222	C3011	HMP2
HMP2I1234	HMP2I369	HMP2I426	HMP2I206	HMP2I205	HMP2I541	HMP2I808	HMP2I426	HMP2I369	HMP2I541	HMP2I808	HMP2I206	HMP2I1127	HMP2I1234	HMP2I1234	HMP2I252	HMP2I1234	HMP2I426	HMP2I1234	HMP2I369	C3012	HMP2
HMP2I1274	HMP2I371	HMP2I125	HMP2I371	HMP2I125	HMP2I693	HMP2I125	HMP2I371	HMP2I996	HMP2I450	HMP2I219	HMP2I693	HMP2I28	HMP2I125	HMP2I371	HMP2I996	HMP2I693	HMP2I28	HMP2I28	HMP2I125	C3013	HMP2
HMP2I234	HMP2I1195	HMP2I53	HMP2I767	HMP2I1018	HMP2I552	HMP2I995	HMP2I191	HMP2I522	HMP2I568	HMP2I648	HMP2I1283	HMP2I610	HMP2I164	HMP2I775	HMP2I801	HMP2I643	HMP2I1181	HMP2I290	HMP2I579	C3015	HMP2
HMP2I1186	HMP2I155	HMP2I16	HMP2I155	HMP2I713	HMP2I47	HMP2I155	HMP2I47	HMP2I713	HMP2I999	HMP2I526	HMP2I713	HMP2I306	HMP2I155	HMP2I475	HMP2I328	HMP2I1226	HMP2I475	HMP2I908	HMP2I1140	C3016	HMP2
HMP2I714	HMP2I765	HMP2I907	HMP2I1237	HMP2I1184	HMP2I524	HMP2I907	HMP2I907	HMP2I765	HMP2I1302	HMP2I1237	HMP2I1184	HMP2I1237	HMP2I765	HMP2I765	HMP2I907	HMP2I1330	HMP2I714	HMP2I1237	HMP2I1302	C3017	HMP2
HMP2I1023	HMP2I835	HMP2I586	HMP2I835	HMP2I779	HMP2I548	HMP2I1287	HMP2I835	HMP2I1023	HMP2I1023	HMP2I548	HMP2I1192	HMP2I1287	HMP2I705	HMP2I705	HMP2I1275	HMP2I1287	HMP2I1275	HMP2I1023	HMP2I1023	C3021	HMP2
HMP2I1154	HMP2I1160	HMP2I1021	HMP2I1043	HMP2I1185	HMP2I1004	HMP2I1118	HMP2I762	HMP2I1056	HMP2I634	HMP2I887	HMP2I1264	HMP2I540	HMP2I674	HMP2I1017	HMP2I840	HMP2I656	HMP2I555	HMP2I883	HMP2I1303	C3022	HMP2
HMP2I802	HMP2I802	HMP2I968	HMP2I1047	HMP2I1047	HMP2I968	HMP2I554	HMP2I931	HMP2I802	HMP2I1047	HMP2I1233	HMP2I1047	HMP2I1272	HMP2I1047	HMP2I802	HMP2I1022	HMP2I968	HMP2I968	HMP2I1077	HMP2I1022	C3023	HMP2
HMP2I543	HMP2I1312	HMP2I1052	HMP2I1123	HMP2I684	HMP2I1204	HMP2I1016	HMP2I983	HMP2I1228	HMP2I644	HMP2I904	HMP2I1119	HMP2I807	HMP2I1267	HMP2I1002	HMP2I1015	HMP2I827	HMP2I512	HMP2I1157	HMP2I1177	C3027	HMP2
HMP2I585	HMP2I1203	HMP2I804	HMP2I748	HMP2I501	HMP2I1262	HMP2I1125	HMP2I1147	HMP2I1262	HMP2I1203	HMP2I1262	HMP2I804	HMP2I1203	HMP2I748	HMP2I1125	HMP2I1262	HMP2I695	HMP2I1246	HMP2I695	HMP2I1262	C3028	HMP2
HMP2I596	HMP2I920	HMP2I1191	HMP2I949	HMP2I1191	HMP2I746	HMP2I596	HMP2I1191	HMP2I746	HMP2I1191	HMP2I1268	HMP2I920	HMP2I1191	HMP2I596	HMP2I574	HMP2I574	HMP2I746	HMP2I1268	HMP2I596	HMP2I746	C3029	HMP2
HMP2I834	HMP2I834	HMP2I1078	HMP2I834	HMP2I1039	HMP2I1039	HMP2I834	HMP2I1193	HMP2I1193	HMP2I1078	HMP2I1007	HMP2I1193	HMP2I1039	HMP2I834	HMP2I1240	HMP2I747	HMP2I1288	HMP2I1007	HMP2I720	HMP2I1078	C3030	HMP2
HMP2I594	HMP2I1298	HMP2I1249	HMP2I1000	HMP2I678	HMP2I594	HMP2I1249	HMP2I1129	HMP2I1273	HMP2I1000	HMP2I1040	HMP2I1040	HMP2I1148	HMP2I678	HMP2I1129	HMP2I1129	HMP2I1129	HMP2I1000	HMP2I1000	HMP2I1273	C3031	HMP2
HMP2I737	HMP2I1122	HMP2I582	HMP2I1064	HMP2I1149	HMP2I1131	HMP2I582	HMP2I582	HMP2I1149	HMP2I1301	HMP2I872	HMP2I1131	HMP2I1282	HMP2I582	HMP2I1098	HMP2I737	HMP2I1149	HMP2I1064	HMP2I737	HMP2I872	C3032	HMP2
HMP2I1081	HMP2I1155	HMP2I1036	HMP2I1093	HMP2I1155	HMP2I1300	HMP2I1284	HMP2I1093	HMP2I1306	HMP2I1036	HMP2I1284	HMP2I1284	HMP2I1256	HMP2I1036	HMP2I1284	HMP2I1093	HMP2I1081	HMP2I1049	HMP2I1036	HMP2I1049	C3034	HMP2
HMP2I1266	HMP2I1200	HMP2I1266	HMP2I1215	HMP2I1266	HMP2I1100	HMP2I1215	HMP2I1200	HMP2I1066	HMP2I1266	HMP2I1066	HMP2I1200	HMP2I1117	HMP2I1069	HMP2I1046	HMP2I1066	HMP2I1066	HMP2I1117	HMP2I1066	HMP2I1066	C3035	HMP2
HMP2I1292	HMP2I1206	HMP2I1174	HMP2I1068	HMP2I1174	HMP2I1068	HMP2I1104	HMP2I1162	HMP2I1028	HMP2I1028	HMP2I1292	HMP2I1028	HMP2I1222	HMP2I1136	HMP2I1132	HMP2I1068	HMP2I1162	HMP2I1222	HMP2I1174	HMP2I1104	C3037	HMP2
HMP2I985	HMP2I171	HMP2I985	HMP2I162	HMP2I162	HMP2I171	HMP2I162	HMP2I892	HMP2I776	HMP2I985	HMP2I776	HMP2I892	HMP2I330	HMP2I330	HMP2I162	HMP2I330	HMP2I171	HMP2I985	HMP2I985	HMP2I171	E5001	HMP2
HMP2I778	HMP2I19	HMP2I551	HMP2I778	HMP2I117	HMP2I343	HMP2I778	HMP2I812	HMP2I19	HMP2I19	HMP2I343	HMP2I19	HMP2I551	HMP2I778	HMP2I551	HMP2I19	HMP2I19	HMP2I551	HMP2I117	HMP2I778	E5004	HMP2
HMP2I463	HMP2I647	HMP2I561	HMP2I813	HMP2I647	HMP2I463	HMP2I813	HMP2I194	HMP2I310	HMP2I444	HMP2I444	HMP2I692	HMP2I563	HMP2I444	HMP2I813	HMP2I463	HMP2I194	HMP2I310	HMP2I563	HMP2I692	E5009	HMP2
HMP2I127	HMP2I127	HMP2I536	HMP2I651	HMP2I511	HMP2I651	HMP2I536	HMP2I1178	HMP2I536	HMP2I1178	HMP2I651	HMP2I127	HMP2I309	HMP2I207	HMP2I1178	HMP2I706	HMP2I127	HMP2I337	HMP2I156	HMP2I651	E5013	HMP2
HMP2I739	HMP2I992	HMP2I890	HMP2I890	HMP2I652	HMP2I519	HMP2I519	HMP2I519	HMP2I992	HMP2I652	HMP2I519	HMP2I992	HMP2I992	HMP2I992	HMP2I890	HMP2I739	HMP2I992	HMP2I992	HMP2I739	HMP2I652	H4001	HMP2
HMP2I979	HMP2I468	HMP2I257	HMP2I178	HMP2I896	HMP2I178	HMP2I151	HMP2I896	HMP2I979	HMP2I257	HMP2I178	HMP2I468	HMP2I468	HMP2I257	HMP2I308	HMP2I13	HMP2I468	HMP2I896	HMP2I308	HMP2I308	H4004	HMP2
HMP2I1317	HMP2I394	HMP2I190	HMP2I941	HMP2I897	HMP2I483	HMP2I385	HMP2I415	HMP2I490	HMP2I264	HMP2I469	HMP2I277	HMP2I113	HMP2I157	HMP2I140	HMP2I196	HMP2I201	HMP2I346	HMP2I367	HMP2I470	H4006	HMP2
HMP2I305	HMP2I495	HMP2I772	HMP2I771	HMP2I771	HMP2I885	HMP2I683	HMP2I771	HMP2I771	HMP2I305	HMP2I495	HMP2I683	HMP2I891	HMP2I305	HMP2I305	HMP2I305	HMP2I305	HMP2I891	HMP2I885	HMP2I771	H4007	HMP2
HMP2I226	HMP2I226	HMP2I291	HMP2I364	HMP2I29	HMP2I226	HMP2I225	HMP2I831	HMP2I831	HMP2I225	HMP2I831	HMP2I30	HMP2I29	HMP2I225	HMP2I225	HMP2I225	HMP2I226	HMP2I364	HMP2I29	HMP2I291	H4008	HMP2
HMP2I153	HMP2I218	HMP2I175	HMP2I175	HMP2I473	HMP2I473	HMP2I473	HMP2I175	HMP2I1321	HMP2I49	HMP2I153	HMP2I49	HMP2I1321	HMP2I49	HMP2I1321	HMP2I473	HMP2I218	HMP2I218	HMP2I473	HMP2I473	H4009	HMP2
HMP2I143	HMP2I402	HMP2I299	HMP2I75	HMP2I508	HMP2I299	HMP2I200	HMP2I687	HMP2I200	HMP2I75	HMP2I299	HMP2I200	HMP2I508	HMP2I229	HMP2I200	HMP2I75	HMP2I508	HMP2I471	HMP2I687	HMP2I687	H4010	HMP2
HMP2I1318	HMP2I25	HMP2I1318	HMP2I31	HMP2I898	HMP2I1318	HMP2I260	HMP2I1318	HMP2I260	HMP2I848	HMP2I1318	HMP2I31	HMP2I848	HMP2I260	HMP2I848	HMP2I390	HMP2I898	HMP2I303	HMP2I325	HMP2I303	H4013	HMP2
HMP2I199	HMP2I486	HMP2I899	HMP2I263	HMP2I486	HMP2I635	HMP2I899	HMP2I635	HMP2I486	HMP2I816	HMP2I382	HMP2I199	HMP2I382	HMP2I263	HMP2I486	HMP2I816	HMP2I816	HMP2I1316	HMP2I263	HMP2I486	H4014	HMP2
HMP2I613	HMP2I480	HMP2I456	HMP2I710	HMP2I94	HMP2I655	HMP2I443	HMP2I667	HMP2I811	HMP2I934	HMP2I509	HMP2I806	HMP2I165	HMP2I1187	HMP2I888	HMP2I1138	HMP2I559	HMP2I435	HMP2I384	HMP2I646	H4015	HMP2
HMP2I1158	HMP2I452	HMP2I270	HMP2I270	HMP2I452	HMP2I768	HMP2I270	HMP2I433	HMP2I401	HMP2I452	HMP2I452	HMP2I994	HMP2I301	HMP2I814	HMP2I452	HMP2I994	HMP2I270	HMP2I270	HMP2I1158	HMP2I814	H4016	HMP2
HMP2I331	HMP2I398	HMP2I304	HMP2I743	HMP2I414	HMP2I331	HMP2I304	HMP2I304	HMP2I304	HMP2I331	HMP2I743	HMP2I514	HMP2I716	HMP2I331	HMP2I389	HMP2I954	HMP2I331	HMP2I26	HMP2I954	HMP2I63	H4017	HMP2
HMP2I506	HMP2I1150	HMP2I1150	HMP2I161	HMP2I1150	HMP2I251	HMP2I251	HMP2I1231	HMP2I387	HMP2I251	HMP2I1231	HMP2I810	HMP2I1150	HMP2I161	HMP2I233	HMP2I161	HMP2I488	HMP2I810	HMP2I111	HMP2I517	H4018	HMP2
HMP2I953	HMP2I395	HMP2I1183	HMP2I773	HMP2I718	HMP2I544	HMP2I1142	HMP2I903	HMP2I327	HMP2I383	HMP2I986	HMP2I431	HMP2I354	HMP2I302	HMP2I46	HMP2I421	HMP2I195	HMP2I449	HMP2I287	HMP2I969	H4019	HMP2
HMP2I209	HMP2I333	HMP2I492	HMP2I232	HMP2I686	HMP2I936	HMP2I21	HMP2I420	HMP2I957	HMP2I380	HMP2I130	HMP2I145	HMP2I374	HMP2I350	HMP2I314	HMP2I289	HMP2I430	HMP2I266	HMP2I393	HMP2I133	H4020	HMP2
HMP2I149	HMP2I997	HMP2I925	HMP2I274	HMP2I925	HMP2I73	HMP2I624	HMP2I624	HMP2I997	HMP2I624	HMP2I997	HMP2I921	HMP2I583	HMP2I925	HMP2I640	HMP2I640	HMP2I520	HMP2I640	HMP2I946	HMP2I149	H4022	HMP2
HMP2I285	HMP2I886	HMP2I673	HMP2I489	HMP2I1141	HMP2I1075	HMP2I76	HMP2I1265	HMP2I59	HMP2I108	HMP2I293	HMP2I1146	HMP2I1001	HMP2I709	HMP2I623	HMP2I590	HMP2I1227	HMP2I1116	HMP2I425	HMP2I416	H4023	HMP2
HMP2I1041	HMP2I507	HMP2I1161	HMP2I935	HMP2I1230	HMP2I1229	HMP2I6	HMP2I939	HMP2I751	HMP2I642	HMP2I419	HMP2I1252	HMP2I539	HMP2I1241	HMP2I472	HMP2I841	HMP2I1307	HMP2I386	HMP2I504	HMP2I1105	H4024	HMP2
HMP2I752	HMP2I370	HMP2I870	HMP2I1024	HMP2I870	HMP2I870	HMP2I434	HMP2I141	HMP2I370	HMP2I434	HMP2I434	HMP2I752	HMP2I876	HMP2I870	HMP2I141	HMP2I876	HMP2I876	HMP2I752	HMP2I434	HMP2I977	H4027	HMP2
HMP2I320	HMP2I1199	HMP2I763	HMP2I170	HMP2I405	HMP2I405	HMP2I828	HMP2I405	HMP2I405	HMP2I763	HMP2I170	HMP2I320	HMP2I1199	HMP2I170	HMP2I170	HMP2I405	HMP2I320	HMP2I131	HMP2I131	HMP2I320	H4028	HMP2
HMP2I1135	HMP2I388	HMP2I213	HMP2I1269	HMP2I448	HMP2I1080	HMP2I1080	HMP2I106	HMP2I1080	HMP2I757	HMP2I1080	HMP2I1269	HMP2I213	HMP2I388	HMP2I106	HMP2I1269	HMP2I1135	HMP2I1269	HMP2I1269	HMP2I187	H4030	HMP2
HMP2I822	HMP2I1085	HMP2I381	HMP2I677	HMP2I677	HMP2I677	HMP2I188	HMP2I208	HMP2I1189	HMP2I699	HMP2I142	HMP2I208	HMP2I1189	HMP2I1102	HMP2I1085	HMP2I1102	HMP2I1189	HMP2I699	HMP2I822	HMP2I466	H4031	HMP2
HMP2I98	HMP2I1156	HMP2I572	HMP2I1293	HMP2I1133	HMP2I1133	HMP2I98	HMP2I1190	HMP2I1133	HMP2I98	HMP2I40	HMP2I79	HMP2I1276	HMP2I79	HMP2I1156	HMP2I577	HMP2I98	HMP2I572	HMP2I79	HMP2I1280	H4032	HMP2
HMP2I910	HMP2I247	HMP2I749	HMP2I81	HMP2I404	HMP2I319	HMP2I37	HMP2I962	HMP2I99	HMP2I800	HMP2I978	HMP2I633	HMP2I1263	HMP2I1250	HMP2I1207	HMP2I612	HMP2I850	HMP2I1089	HMP2I216	HMP2I338	H4035	HMP2
HMP2I780	HMP2I873	HMP2I1305	HMP2I735	HMP2I82	HMP2I873	HMP2I658	HMP2I82	HMP2I1079	HMP2I873	HMP2I735	HMP2I1305	HMP2I409	HMP2I735	HMP2I658	HMP2I82	HMP2I735	HMP2I237	HMP2I1079	HMP2I82	H4038	HMP2
HMP2I1124	HMP2I866	HMP2I215	HMP2I1126	HMP2I794	HMP2I615	HMP2I1050	HMP2I854	HMP2I970	HMP2I615	HMP2I970	HMP2I866	HMP2I351	HMP2I970	HMP2I615	HMP2I215	HMP2I854	HMP2I854	HMP2I215	HMP2I970	H4039	HMP2
HMP2I135	HMP2I1169	HMP2I788	HMP2I788	HMP2I858	HMP2I788	HMP2I788	HMP2I788	HMP2I724	HMP2I630	HMP2I185	HMP2I858	HMP2I569	HMP2I630	HMP2I135	HMP2I135	HMP2I1169	HMP2I135	HMP2I1087	HMP2I185	H4040	HMP2
HMP2I948	HMP2I1255	HMP2I857	HMP2I1159	HMP2I792	HMP2I1255	HMP2I857	HMP2I948	HMP2I1159	HMP2I857	HMP2I857	HMP2I782	HMP2I1255	HMP2I792	HMP2I877	HMP2I877	HMP2I877	HMP2I857	HMP2I948	HMP2I877	H4042	HMP2
HMP2I661	HMP2I1065	HMP2I1070	HMP2I721	HMP2I1011	HMP2I661	HMP2I1070	HMP2I661	HMP2I1065	HMP2I733	HMP2I734	HMP2I734	HMP2I734	HMP2I1011	HMP2I661	HMP2I734	HMP2I1070	HMP2I1171	HMP2I826	HMP2I721	H4043	HMP2
HMP2I1310	HMP2I626	HMP2I611	HMP2I1110	HMP2I632	HMP2I1332	HMP2I620	HMP2I626	HMP2I1310	HMP2I611	HMP2I599	HMP2I632	HMP2I620	HMP2I1110	HMP2I620	HMP2I620	HMP2I1332	HMP2I1310	HMP2I1196	HMP2I1196	H4044	HMP2
HMP2I606	HMP2I853	HMP2I1012	HMP2I722	HMP2I918	HMP2I825	HMP2I1035	HMP2I825	HMP2I825	HMP2I918	HMP2I606	HMP2I918	HMP2I1035	HMP2I606	HMP2I918	HMP2I1216	HMP2I1035	HMP2I918	HMP2I1012	HMP2I606	H4045	HMP2
HMP2I329	HMP2I665	HMP2I114	HMP2I669	HMP2I669	HMP2I114	HMP2I664	HMP2I440	HMP2I669	HMP2I669	HMP2I24	HMP2I440	HMP2I665	HMP2I114	HMP2I329	HMP2I24	HMP2I24	HMP2I665	HMP2I669	HMP2I663	M2008	HMP2
HMP2I197	HMP2I14	HMP2I197	HMP2I23	HMP2I122	HMP2I23	HMP2I14	HMP2I122	HMP2I14	HMP2I481	HMP2I197	HMP2I481	HMP2I197	HMP2I122	HMP2I122	HMP2I197	HMP2I23	HMP2I122	HMP2I481	HMP2I122	M2014	HMP2
HMP2I27	HMP2I17	HMP2I27	HMP2I17	HMP2I17	HMP2I115	HMP2I17	HMP2I17	HMP2I115	HMP2I27	HMP2I27	HMP2I115	HMP2I17	HMP2I17	HMP2I115	HMP2I27	HMP2I17	HMP2I115	HMP2I115	HMP2I17	M2021	HMP2
HMP2I296	HMP2I296	HMP2I89	HMP2I89	HMP2I485	HMP2I296	HMP2I89	HMP2I300	HMP2I485	HMP2I485	HMP2I485	HMP2I493	HMP2I296	HMP2I493	HMP2I437	HMP2I296	HMP2I493	HMP2I493	HMP2I437	HMP2I296	M2025	HMP2
HMP2I95	HMP2I95	HMP2I48	HMP2I203	HMP2I116	HMP2I12	HMP2I413	HMP2I256	HMP2I479	HMP2I342	HMP2I313	HMP2I442	HMP2I497	HMP2I95	HMP2I116	HMP2I413	HMP2I48	HMP2I116	HMP2I256	HMP2I116	M2026	HMP2
