Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	IndividualID	Cohort
ERR4158296	ERR4158297	ERR4158296	ERR4158296	ERR4158297	ERR4158297	ERR4158297	ERR4158298	ERR4158298	ERR4158297	ERR4158296	ERR4158297	ERR4158296	ERR4158297	ERR4158298	ERR4158297	ERR4158296	ERR4158297	ERR4158298	ERR4158297	Fang100129	Fang_UCSD_IBD_Biobank
ERR4158299	ERR4158299	ERR4158299	ERR4158299	ERR4158299	ERR4158299	ERR4158299	ERR4158299	ERR4158299	ERR4158299	ERR4158299	ERR4158299	ERR4158299	ERR4158299	ERR4158299	ERR4158299	ERR4158299	ERR4158299	ERR4158299	ERR4158299	Fang100130	Fang_UCSD_IBD_Biobank
ERR4158302	ERR4158301	ERR4158301	ERR4158300	ERR4158300	ERR4158302	ERR4158301	ERR4158302	ERR4158300	ERR4158300	ERR4158300	ERR4158300	ERR4158301	ERR4158302	ERR4158301	ERR4158302	ERR4158302	ERR4158300	ERR4158300	ERR4158302	Fang100135	Fang_UCSD_IBD_Biobank
ERR4158303	ERR4158304	ERR4158304	ERR4158304	ERR4158304	ERR4158303	ERR4158304	ERR4158303	ERR4158303	ERR4158303	ERR4158304	ERR4158303	ERR4158303	ERR4158303	ERR4158303	ERR4158304	ERR4158303	ERR4158304	ERR4158303	ERR4158304	Fang100136	Fang_UCSD_IBD_Biobank
ERR4158305	ERR4158305	ERR4158305	ERR4158305	ERR4158305	ERR4158305	ERR4158305	ERR4158305	ERR4158305	ERR4158305	ERR4158305	ERR4158305	ERR4158305	ERR4158305	ERR4158305	ERR4158305	ERR4158305	ERR4158305	ERR4158305	ERR4158305	Fang100138	Fang_UCSD_IBD_Biobank
ERR4158306	ERR4158307	ERR4158306	ERR4158307	ERR4158306	ERR4158306	ERR4158307	ERR4158307	ERR4158307	ERR4158306	ERR4158307	ERR4158307	ERR4158307	ERR4158306	ERR4158306	ERR4158306	ERR4158307	ERR4158306	ERR4158307	ERR4158306	Fang100139	Fang_UCSD_IBD_Biobank
ERR4158309	ERR4158309	ERR4158309	ERR4158308	ERR4158311	ERR4158309	ERR4158309	ERR4158308	ERR4158310	ERR4158310	ERR4158310	ERR4158311	ERR4158309	ERR4158309	ERR4158309	ERR4158309	ERR4158311	ERR4158311	ERR4158309	ERR4158308	Fang100140	Fang_UCSD_IBD_Biobank
ERR4158314	ERR4158313	ERR4158312	ERR4158314	ERR4158312	ERR4158314	ERR4158312	ERR4158314	ERR4158313	ERR4158313	ERR4158313	ERR4158314	ERR4158314	ERR4158312	ERR4158313	ERR4158313	ERR4158312	ERR4158312	ERR4158314	ERR4158314	Fang100144	Fang_UCSD_IBD_Biobank
ERR4158315	ERR4158316	ERR4158315	ERR4158316	ERR4158316	ERR4158315	ERR4158316	ERR4158315	ERR4158315	ERR4158315	ERR4158315	ERR4158316	ERR4158316	ERR4158315	ERR4158315	ERR4158315	ERR4158316	ERR4158316	ERR4158316	ERR4158315	Fang100145	Fang_UCSD_IBD_Biobank
ERR4158318	ERR4158317	ERR4158317	ERR4158318	ERR4158318	ERR4158318	ERR4158317	ERR4158319	ERR4158318	ERR4158319	ERR4158318	ERR4158319	ERR4158317	ERR4158318	ERR4158317	ERR4158318	ERR4158317	ERR4158319	ERR4158317	ERR4158319	Fang100148	Fang_UCSD_IBD_Biobank
ERR4158320	ERR4158321	ERR4158320	ERR4158320	ERR4158320	ERR4158320	ERR4158320	ERR4158320	ERR4158321	ERR4158320	ERR4158320	ERR4158321	ERR4158321	ERR4158320	ERR4158322	ERR4158321	ERR4158322	ERR4158320	ERR4158320	ERR4158322	Fang100149	Fang_UCSD_IBD_Biobank
ERR4158323	ERR4158323	ERR4158323	ERR4158324	ERR4158323	ERR4158323	ERR4158324	ERR4158323	ERR4158324	ERR4158323	ERR4158324	ERR4158323	ERR4158324	ERR4158323	ERR4158324	ERR4158324	ERR4158324	ERR4158324	ERR4158323	ERR4158323	Fang100150	Fang_UCSD_IBD_Biobank
ERR4158327	ERR4158326	ERR4158325	ERR4158326	ERR4158326	ERR4158325	ERR4158326	ERR4158327	ERR4158326	ERR4158325	ERR4158326	ERR4158326	ERR4158325	ERR4158326	ERR4158327	ERR4158327	ERR4158327	ERR4158326	ERR4158326	ERR4158325	Fang100151	Fang_UCSD_IBD_Biobank
ERR4158330	ERR4158328	ERR4158328	ERR4158330	ERR4158329	ERR4158330	ERR4158328	ERR4158329	ERR4158329	ERR4158330	ERR4158329	ERR4158329	ERR4158328	ERR4158330	ERR4158329	ERR4158330	ERR4158329	ERR4158330	ERR4158328	ERR4158328	Fang100152	Fang_UCSD_IBD_Biobank
ERR4158331	ERR4158331	ERR4158331	ERR4158331	ERR4158331	ERR4158331	ERR4158331	ERR4158331	ERR4158331	ERR4158331	ERR4158331	ERR4158331	ERR4158331	ERR4158331	ERR4158331	ERR4158331	ERR4158331	ERR4158331	ERR4158331	ERR4158331	Fang100154	Fang_UCSD_IBD_Biobank
ERR4158334	ERR4158332	ERR4158332	ERR4158334	ERR4158332	ERR4158333	ERR4158332	ERR4158333	ERR4158332	ERR4158332	ERR4158334	ERR4158332	ERR4158333	ERR4158333	ERR4158332	ERR4158333	ERR4158333	ERR4158333	ERR4158332	ERR4158334	Fang100156	Fang_UCSD_IBD_Biobank
ERR4158335	ERR4158335	ERR4158336	ERR4158335	ERR4158335	ERR4158336	ERR4158336	ERR4158336	ERR4158335	ERR4158336	ERR4158335	ERR4158336	ERR4158335	ERR4158336	ERR4158335	ERR4158335	ERR4158336	ERR4158336	ERR4158336	ERR4158336	Fang100157	Fang_UCSD_IBD_Biobank
ERR4158337	ERR4158337	ERR4158337	ERR4158337	ERR4158337	ERR4158337	ERR4158337	ERR4158337	ERR4158337	ERR4158337	ERR4158337	ERR4158337	ERR4158337	ERR4158337	ERR4158337	ERR4158337	ERR4158337	ERR4158337	ERR4158337	ERR4158337	Fang100158	Fang_UCSD_IBD_Biobank
ERR4158338	ERR4158338	ERR4158339	ERR4158339	ERR4158339	ERR4158338	ERR4158339	ERR4158339	ERR4158338	ERR4158338	ERR4158338	ERR4158338	ERR4158339	ERR4158338	ERR4158339	ERR4158338	ERR4158339	ERR4158339	ERR4158338	ERR4158338	Fang100159	Fang_UCSD_IBD_Biobank
ERR4158341	ERR4158340	ERR4158341	ERR4158341	ERR4158340	ERR4158340	ERR4158341	ERR4158340	ERR4158340	ERR4158340	ERR4158340	ERR4158341	ERR4158341	ERR4158340	ERR4158340	ERR4158341	ERR4158341	ERR4158340	ERR4158340	ERR4158340	Fang100163	Fang_UCSD_IBD_Biobank
ERR4158344	ERR4158343	ERR4158342	ERR4158343	ERR4158343	ERR4158345	ERR4158342	ERR4158344	ERR4158343	ERR4158344	ERR4158345	ERR4158345	ERR4158342	ERR4158344	ERR4158344	ERR4158345	ERR4158345	ERR4158343	ERR4158344	ERR4158342	Fang100165	Fang_UCSD_IBD_Biobank
ERR4158347	ERR4158346	ERR4158346	ERR4158347	ERR4158347	ERR4158346	ERR4158346	ERR4158346	ERR4158346	ERR4158346	ERR4158346	ERR4158347	ERR4158346	ERR4158346	ERR4158347	ERR4158346	ERR4158346	ERR4158346	ERR4158347	ERR4158347	Fang100166	Fang_UCSD_IBD_Biobank
ERR4158349	ERR4158349	ERR4158349	ERR4158349	ERR4158348	ERR4158348	ERR4158348	ERR4158348	ERR4158349	ERR4158349	ERR4158348	ERR4158349	ERR4158349	ERR4158349	ERR4158349	ERR4158349	ERR4158349	ERR4158349	ERR4158348	ERR4158348	Fang100167	Fang_UCSD_IBD_Biobank
ERR4158350	ERR4158351	ERR4158351	ERR4158351	ERR4158350	ERR4158351	ERR4158352	ERR4158350	ERR4158351	ERR4158351	ERR4158351	ERR4158352	ERR4158352	ERR4158352	ERR4158352	ERR4158353	ERR4158352	ERR4158350	ERR4158352	ERR4158353	Fang100168	Fang_UCSD_IBD_Biobank
ERR4158354	ERR4158355	ERR4158356	ERR4158356	ERR4158354	ERR4158356	ERR4158356	ERR4158354	ERR4158354	ERR4158354	ERR4158356	ERR4158356	ERR4158356	ERR4158356	ERR4158354	ERR4158355	ERR4158354	ERR4158354	ERR4158355	ERR4158354	Fang100169	Fang_UCSD_IBD_Biobank
ERR4158357	ERR4158357	ERR4158357	ERR4158357	ERR4158357	ERR4158357	ERR4158357	ERR4158357	ERR4158357	ERR4158357	ERR4158357	ERR4158357	ERR4158357	ERR4158357	ERR4158357	ERR4158357	ERR4158357	ERR4158357	ERR4158357	ERR4158357	Fang100174	Fang_UCSD_IBD_Biobank
ERR4158358	ERR4158359	ERR4158359	ERR4158358	ERR4158359	ERR4158359	ERR4158360	ERR4158358	ERR4158360	ERR4158358	ERR4158358	ERR4158358	ERR4158359	ERR4158360	ERR4158360	ERR4158359	ERR4158359	ERR4158358	ERR4158359	ERR4158358	Fang100175	Fang_UCSD_IBD_Biobank
ERR4158361	ERR4158361	ERR4158361	ERR4158361	ERR4158361	ERR4158361	ERR4158361	ERR4158361	ERR4158361	ERR4158361	ERR4158361	ERR4158361	ERR4158361	ERR4158361	ERR4158361	ERR4158361	ERR4158361	ERR4158361	ERR4158361	ERR4158361	Fang100176	Fang_UCSD_IBD_Biobank
ERR4158362	ERR4158363	ERR4158363	ERR4158363	ERR4158363	ERR4158363	ERR4158363	ERR4158363	ERR4158362	ERR4158362	ERR4158363	ERR4158363	ERR4158362	ERR4158363	ERR4158362	ERR4158362	ERR4158362	ERR4158363	ERR4158362	ERR4158362	Fang100177	Fang_UCSD_IBD_Biobank
ERR4158365	ERR4158365	ERR4158364	ERR4158365	ERR4158364	ERR4158364	ERR4158365	ERR4158365	ERR4158365	ERR4158365	ERR4158365	ERR4158364	ERR4158364	ERR4158365	ERR4158365	ERR4158365	ERR4158365	ERR4158364	ERR4158364	ERR4158365	Fang100179	Fang_UCSD_IBD_Biobank
ERR4158368	ERR4158367	ERR4158367	ERR4158367	ERR4158368	ERR4158366	ERR4158366	ERR4158366	ERR4158367	ERR4158368	ERR4158366	ERR4158366	ERR4158368	ERR4158368	ERR4158367	ERR4158368	ERR4158368	ERR4158367	ERR4158366	ERR4158367	Fang100180	Fang_UCSD_IBD_Biobank
ERR4158369	ERR4158371	ERR4158371	ERR4158373	ERR4158369	ERR4158372	ERR4158370	ERR4158373	ERR4158371	ERR4158369	ERR4158372	ERR4158373	ERR4158369	ERR4158369	ERR4158373	ERR4158372	ERR4158371	ERR4158371	ERR4158370	ERR4158370	Fang100181	Fang_UCSD_IBD_Biobank
ERR4158374	ERR4158374	ERR4158374	ERR4158374	ERR4158374	ERR4158374	ERR4158374	ERR4158374	ERR4158374	ERR4158374	ERR4158374	ERR4158374	ERR4158374	ERR4158374	ERR4158374	ERR4158374	ERR4158374	ERR4158374	ERR4158374	ERR4158374	Fang100182	Fang_UCSD_IBD_Biobank
ERR4158375	ERR4158375	ERR4158375	ERR4158375	ERR4158375	ERR4158375	ERR4158375	ERR4158375	ERR4158375	ERR4158375	ERR4158375	ERR4158375	ERR4158375	ERR4158375	ERR4158375	ERR4158375	ERR4158375	ERR4158375	ERR4158375	ERR4158375	Fang100184	Fang_UCSD_IBD_Biobank
ERR4158376	ERR4158376	ERR4158377	ERR4158377	ERR4158377	ERR4158377	ERR4158377	ERR4158377	ERR4158377	ERR4158376	ERR4158376	ERR4158376	ERR4158376	ERR4158376	ERR4158377	ERR4158377	ERR4158377	ERR4158377	ERR4158377	ERR4158376	Fang100191	Fang_UCSD_IBD_Biobank
ERR4158379	ERR4158378	ERR4158378	ERR4158378	ERR4158379	ERR4158378	ERR4158379	ERR4158378	ERR4158378	ERR4158378	ERR4158378	ERR4158379	ERR4158378	ERR4158378	ERR4158378	ERR4158378	ERR4158379	ERR4158379	ERR4158378	ERR4158379	Fang100195	Fang_UCSD_IBD_Biobank
ERR4158380	ERR4158380	ERR4158380	ERR4158380	ERR4158380	ERR4158380	ERR4158380	ERR4158380	ERR4158380	ERR4158380	ERR4158380	ERR4158380	ERR4158380	ERR4158380	ERR4158380	ERR4158380	ERR4158380	ERR4158380	ERR4158380	ERR4158380	Fang100201	Fang_UCSD_IBD_Biobank
ERR4158381	ERR4158382	ERR4158382	ERR4158381	ERR4158381	ERR4158381	ERR4158382	ERR4158382	ERR4158382	ERR4158381	ERR4158382	ERR4158382	ERR4158382	ERR4158382	ERR4158381	ERR4158381	ERR4158382	ERR4158381	ERR4158381	ERR4158381	Fang100207	Fang_UCSD_IBD_Biobank
ERR4158383	ERR4158383	ERR4158383	ERR4158383	ERR4158383	ERR4158383	ERR4158383	ERR4158383	ERR4158383	ERR4158383	ERR4158383	ERR4158383	ERR4158383	ERR4158383	ERR4158383	ERR4158383	ERR4158383	ERR4158383	ERR4158383	ERR4158383	Fang100210	Fang_UCSD_IBD_Biobank
ERR4158385	ERR4158384	ERR4158385	ERR4158384	ERR4158385	ERR4158384	ERR4158384	ERR4158386	ERR4158385	ERR4158386	ERR4158385	ERR4158385	ERR4158384	ERR4158386	ERR4158384	ERR4158384	ERR4158384	ERR4158384	ERR4158385	ERR4158385	Fang100212	Fang_UCSD_IBD_Biobank
ERR4158388	ERR4158387	ERR4158387	ERR4158387	ERR4158388	ERR4158387	ERR4158387	ERR4158387	ERR4158387	ERR4158387	ERR4158387	ERR4158388	ERR4158388	ERR4158387	ERR4158387	ERR4158387	ERR4158388	ERR4158387	ERR4158388	ERR4158387	Fang100214	Fang_UCSD_IBD_Biobank
HMPI6	HMPI7	HMPI7	HMPI3	HMPI5	HMPI1	HMPI7	HMPI3	HMPI4	HMPI6	HMPI5	HMPI2	HMPI3	HMPI1	HMPI5	HMPI1	HMPI2	HMPI8	HMPI6	HMPI3	C3001	HMP
HMPI16	HMPI16	HMPI14	HMPI12	HMPI16	HMPI11	HMPI10	HMPI13	HMPI13	HMPI14	HMPI13	HMPI16	HMPI10	HMPI13	HMPI13	HMPI11	HMPI13	HMPI16	HMPI12	HMPI12	C3002	HMP
HMPI18	HMPI18	HMPI19	HMPI17	HMPI19	HMPI20	HMPI17	HMPI18	HMPI18	HMPI18	HMPI20	HMPI18	HMPI17	HMPI17	HMPI17	HMPI19	HMPI19	HMPI20	HMPI17	HMPI17	C3003	HMP
HMPI25	HMPI24	HMPI24	HMPI23	HMPI21	HMPI25	HMPI25	HMPI24	HMPI21	HMPI25	HMPI25	HMPI23	HMPI21	HMPI21	HMPI21	HMPI22	HMPI21	HMPI24	HMPI22	HMPI21	C3004	HMP
HMPI26	HMPI26	HMPI28	HMPI28	HMPI29	HMPI28	HMPI26	HMPI26	HMPI26	HMPI27	HMPI28	HMPI26	HMPI29	HMPI29	HMPI26	HMPI28	HMPI26	HMPI28	HMPI26	HMPI29	C3005	HMP
HMPI31	HMPI31	HMPI32	HMPI30	HMPI30	HMPI31	HMPI31	HMPI32	HMPI30	HMPI31	HMPI31	HMPI32	HMPI31	HMPI30	HMPI32	HMPI32	HMPI30	HMPI31	HMPI30	HMPI30	C3006	HMP
HMPI35	HMPI33	HMPI35	HMPI33	HMPI33	HMPI34	HMPI35	HMPI34	HMPI35	HMPI34	HMPI34	HMPI33	HMPI33	HMPI35	HMPI35	HMPI35	HMPI33	HMPI35	HMPI34	HMPI35	C3007	HMP
HMPI38	HMPI38	HMPI38	HMPI36	HMPI36	HMPI38	HMPI38	HMPI36	HMPI36	HMPI37	HMPI37	HMPI36	HMPI36	HMPI37	HMPI38	HMPI38	HMPI36	HMPI38	HMPI37	HMPI37	C3008	HMP
HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	C3009	HMP
HMPI41	HMPI41	HMPI41	HMPI41	HMPI42	HMPI42	HMPI42	HMPI42	HMPI42	HMPI40	HMPI41	HMPI42	HMPI42	HMPI40	HMPI41	HMPI41	HMPI42	HMPI42	HMPI42	HMPI41	C3010	HMP
HMPI45	HMPI51	HMPI45	HMPI46	HMPI52	HMPI45	HMPI53	HMPI54	HMPI54	HMPI45	HMPI53	HMPI47	HMPI53	HMPI49	HMPI49	HMPI43	HMPI46	HMPI49	HMPI53	HMPI49	C3011	HMP
HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	C3012	HMP
HMPI67	HMPI62	HMPI60	HMPI66	HMPI65	HMPI65	HMPI63	HMPI62	HMPI58	HMPI63	HMPI66	HMPI56	HMPI67	HMPI58	HMPI66	HMPI58	HMPI60	HMPI57	HMPI65	HMPI64	C3013	HMP
HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	C3015	HMP
HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	C3016	HMP
HMPI81	HMPI71	HMPI81	HMPI79	HMPI83	HMPI71	HMPI73	HMPI74	HMPI72	HMPI83	HMPI78	HMPI79	HMPI73	HMPI83	HMPI70	HMPI70	HMPI79	HMPI83	HMPI73	HMPI74	C3017	HMP
HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	C3019	HMP
HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	C3020	HMP
HMPI87	HMPI87	HMPI87	HMPI87	HMPI87	HMPI87	HMPI87	HMPI87	HMPI86	HMPI87	HMPI87	HMPI87	HMPI87	HMPI87	HMPI86	HMPI87	HMPI87	HMPI86	HMPI87	HMPI87	C3022	HMP
HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	C3023	HMP
HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	C3024	HMP
HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	C3029	HMP
HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	C3030	HMP
HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	C3031	HMP
HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	C3032	HMP
HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	C3033	HMP
HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	C3034	HMP
HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	C3036	HMP
HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	C3037	HMP
HMPI104	HMPI100	HMPI104	HMPI103	HMPI101	HMPI99	HMPI104	HMPI99	HMPI102	HMPI100	HMPI100	HMPI99	HMPI98	HMPI101	HMPI98	HMPI103	HMPI98	HMPI99	HMPI100	HMPI101	E5001	HMP
HMPI107	HMPI105	HMPI108	HMPI109	HMPI105	HMPI108	HMPI109	HMPI109	HMPI109	HMPI109	HMPI107	HMPI109	HMPI107	HMPI107	HMPI108	HMPI108	HMPI105	HMPI109	HMPI107	HMPI105	E5002	HMP
HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	E5003	HMP
HMPI111	HMPI113	HMPI114	HMPI113	HMPI113	HMPI112	HMPI112	HMPI111	HMPI114	HMPI111	HMPI114	HMPI111	HMPI114	HMPI113	HMPI114	HMPI111	HMPI111	HMPI112	HMPI113	HMPI113	E5004	HMP
HMPI115	HMPI115	HMPI115	HMPI116	HMPI115	HMPI116	HMPI115	HMPI116	HMPI115	HMPI115	HMPI116	HMPI115	HMPI116	HMPI116	HMPI115	HMPI115	HMPI116	HMPI115	HMPI115	HMPI115	E5006	HMP
HMPI119	HMPI119	HMPI118	HMPI119	HMPI119	HMPI119	HMPI117	HMPI118	HMPI118	HMPI118	HMPI117	HMPI119	HMPI119	HMPI119	HMPI118	HMPI118	HMPI117	HMPI118	HMPI119	HMPI118	E5008	HMP
HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	E5009	HMP
HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	E5013	HMP
HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	E5019	HMP
HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	E5022	HMP
HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	E5023	HMP
HMPI125	HMPI126	HMPI128	HMPI131	HMPI127	HMPI130	HMPI127	HMPI130	HMPI125	HMPI131	HMPI131	HMPI131	HMPI127	HMPI127	HMPI129	HMPI131	HMPI126	HMPI128	HMPI125	HMPI126	H4001	HMP
HMPI133	HMPI132	HMPI132	HMPI133	HMPI132	HMPI133	HMPI132	HMPI133	HMPI133	HMPI133	HMPI132	HMPI133	HMPI133	HMPI132	HMPI133	HMPI133	HMPI132	HMPI133	HMPI132	HMPI133	H4004	HMP
HMPI135	HMPI136	HMPI135	HMPI136	HMPI135	HMPI134	HMPI136	HMPI135	HMPI136	HMPI135	HMPI135	HMPI136	HMPI134	HMPI136	HMPI136	HMPI135	HMPI134	HMPI134	HMPI136	HMPI134	H4006	HMP
HMPI137	HMPI138	HMPI137	HMPI137	HMPI137	HMPI137	HMPI137	HMPI137	HMPI137	HMPI138	HMPI137	HMPI137	HMPI137	HMPI137	HMPI137	HMPI137	HMPI138	HMPI137	HMPI138	HMPI137	H4007	HMP
HMPI144	HMPI142	HMPI148	HMPI150	HMPI141	HMPI149	HMPI150	HMPI148	HMPI145	HMPI141	HMPI151	HMPI140	HMPI151	HMPI145	HMPI151	HMPI147	HMPI148	HMPI151	HMPI151	HMPI142	H4008	HMP
HMPI163	HMPI154	HMPI157	HMPI157	HMPI155	HMPI156	HMPI152	HMPI157	HMPI161	HMPI162	HMPI158	HMPI156	HMPI156	HMPI155	HMPI160	HMPI163	HMPI155	HMPI163	HMPI155	HMPI155	H4009	HMP
HMPI167	HMPI165	HMPI167	HMPI167	HMPI165	HMPI167	HMPI167	HMPI166	HMPI165	HMPI166	HMPI165	HMPI167	HMPI167	HMPI167	HMPI167	HMPI166	HMPI166	HMPI165	HMPI167	HMPI166	H4010	HMP
HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	H4011	HMP
HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	H4012	HMP
HMPI171	HMPI170	HMPI170	HMPI171	HMPI171	HMPI171	HMPI171	HMPI170	HMPI170	HMPI170	HMPI171	HMPI170	HMPI170	HMPI171	HMPI170	HMPI170	HMPI170	HMPI171	HMPI170	HMPI170	H4013	HMP
HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	H4014	HMP
HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	H4015	HMP
HMPI176	HMPI174	HMPI177	HMPI176	HMPI174	HMPI174	HMPI175	HMPI175	HMPI174	HMPI175	HMPI175	HMPI174	HMPI176	HMPI175	HMPI176	HMPI175	HMPI176	HMPI176	HMPI177	HMPI175	H4016	HMP
HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	H4018	HMP
HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	H4019	HMP
